  0.0000   0.0000   1.0000
  0.1250   0.0000   0.8750
  0.2500   0.0000   0.7500
  0.3750   0.0000   0.6250
  0.5000   0.0000   0.5000
  0.6250   0.0000   0.3750
  0.7500   0.0000   0.2500
  0.8750   0.0000   0.1250
  1.0000   0.0000   0.0000

  0.0000   0.1250   0.8750
  0.1250   0.1250   0.0071
  0.2500   0.1250   0.0031
  0.3750   0.1250   0.0025
  0.5000   0.1250   0.0020
  0.6250   0.1250   0.0015
  0.7500   0.1250   0.0010
  0.8750   0.1250   0.0010
  1.0000   0.1250   0.1250

  0.0000   0.2500   0.7500
  0.1250   0.2500   0.0031
  0.2500   0.2500   0.0000
  0.3750   0.2500   0.0000
  0.5000   0.2500   0.0000
  0.6250   0.2500   0.0000
  0.7500   0.2500   0.0000
  0.8750   0.2500   0.0010
  1.0000   0.2500   0.2500

  0.0000   0.3750   0.6250
  0.1250   0.3750   0.0025
  0.2500   0.3750   0.0000
  0.3750   0.3750   0.0000
  0.5000   0.3750   0.0000
  0.6250   0.3750   0.0000
  0.7500   0.3750   0.0000
  0.8750   0.3750   0.0015
  1.0000   0.3750   0.3750

  0.0000   0.5000   0.5000
  0.1250   0.5000   0.0020
  0.2500   0.5000   0.0000
  0.3750   0.5000   0.0000
  0.5000   0.5000   0.0000
  0.6250   0.5000   0.0000
  0.7500   0.5000   0.0000
  0.8750   0.5000   0.0020
  1.0000   0.5000   0.5000

  0.0000   0.6250   0.3750
  0.1250   0.6250   0.0015
  0.2500   0.6250   0.0000
  0.3750   0.6250   0.0000
  0.5000   0.6250   0.0000
  0.6250   0.6250   0.0000
  0.7500   0.6250   0.0000
  0.8750   0.6250   0.0025
  1.0000   0.6250   0.6250

  0.0000   0.7500   0.2500
  0.1250   0.7500   0.0010
  0.2500   0.7500   0.0000
  0.3750   0.7500   0.0000
  0.5000   0.7500   0.0000
  0.6250   0.7500   0.0000
  0.7500   0.7500   0.0000
  0.8750   0.7500   0.0031
  1.0000   0.7500   0.7500

  0.0000   0.8750   0.1250
  0.1250   0.8750   0.0010
  0.2500   0.8750   0.0010
  0.3750   0.8750   0.0015
  0.5000   0.8750   0.0020
  0.6250   0.8750   0.0025
  0.7500   0.8750   0.0031
  0.8750   0.8750   0.0071
  1.0000   0.8750   0.8750

  0.0000   1.0000   0.0000
  0.1250   1.0000   0.1250
  0.2500   1.0000   0.2500
  0.3750   1.0000   0.3750
  0.5000   1.0000   0.5000
  0.6250   1.0000   0.6250
  0.7500   1.0000   0.7500
  0.8750   1.0000   0.8750
  1.0000   1.0000   1.0000

